"","daytime_pop","daytime_density","travel_to","DP0010001","brewery","cafe","medinc","b_hs","hs","phd","oldpop","youngpop","dist1","dist2","dist3","dist4","zone","hood"
"4527",4510,883.043700873352,1582,6001,0,0,102760,7.7,29.7,28.2,4906,222,0,0,0,0,"Residential Single Family 5000","Lawton Park"
"4528",4510,883.043700873352,1582,6001,0,0,102760,7.7,29.7,28.2,4906,222,0,0,0,1,"Residential Single Family 7200","Lawton Park"
"4529",4510,883.043700873352,1582,6001,0,0,102760,7.7,29.7,28.2,4906,222,0,0,0,1,"Residential Single Family 9600","Lawton Park"
"4530",4510,883.043700873352,1582,6001,0,0,102760,7.7,29.7,28.2,4906,222,1,1,1,3,"Residential Single Family 5000","Southeast Magnolia"
"4531",5058,1636.055585781,3139,5059,0,0,66455,0,43.5,23.7,4384,531,0,4,5,8,"Residential Single Family 5000","Southeast Magnolia"
"4532",4510,883.043700873352,1582,6001,0,0,102760,7.7,29.7,28.2,4906,222,0,0,0,4,"Residential Single Family 7200","Lawton Park"
"4533",4510,883.043700873352,1582,6001,0,0,102760,7.7,29.7,28.2,4906,222,0,3,4,5,"Residential Single Family 7200","Lawton Park"
"4534",4510,883.043700873352,1582,6001,0,0,102760,7.7,29.7,28.2,4906,222,0,0,0,1,"Residential Single Family 7200","Lawton Park"
"4535",4549,1499.87075195982,814,6382,0,0,159652,0,28.5,37.2,4969,256,0,0,1,3,"Residential Single Family 5000","Briarcliff"
"4536",4549,1499.87075195982,814,6382,0,0,159652,0,28.5,37.2,4969,256,0,3,4,5,"Residential Single Family 5000","Briarcliff"
"4537",5058,1636.055585781,3139,5059,0,0,66455,0,43.5,23.7,4384,531,0,0,1,1,"Residential Single Family 5000","Southeast Magnolia"
"4538",4510,883.043700873352,1582,6001,0,0,102760,7.7,29.7,28.2,4906,222,0,0,0,2,"Residential Single Family 7200","Lawton Park"
"4539",4510,883.043700873352,1582,6001,0,1,102760,7.7,29.7,28.2,4906,222,0,0,1,1,"Residential Single Family 5000","Lawton Park"
"4540",4510,883.043700873352,1582,6001,0,0,102760,7.7,29.7,28.2,4906,222,0,0,0,0,"Residential Single Family 7200","Lawton Park"
